	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
171	5	118.38965987265065	15.95916248044025	4	26155.0	4	23	1
172	6	136.17704101283658	21.499396929245457	6	1.0	0	23	1
173	7	190.36417473353845	17.83013975032614	5	69974.0	5	23	1
174	8	177.43496816756786	21.168494501830438	6	1.0	0	23	1
175	9	178.37228498346136	42.167327197874414	8	883.0	3	23	1
176	10	159.75834218625806	46.368081907556075	8	883.0	3	23	1
177	11	333.091369239757	54.191198722948286	10	1.0	0	23	1
178	1	270.7744038520247	2.0	1	1159.0	3	24	1
179	2	144.8878650029297	7.739673670722743	2	239.0	2	24	1
180	3	271.3481296125786	13.534510577348172	3	25.0	1	24	1
181	4	298.42563360620846	25.16211565567717	4	86.0	2	24	1
182	5	257.92467747235537	30.438569578722444	5	5372.0	4	24	1
183	6	139.88506975743877	34.828202815951414	6	343.0	3	24	1
184	7	207.15588055100656	40.53844188158818	7	3297.0	4	24	1
185	1	240.02547465402796	1.5	1	69974.0	5	25	1
186	2	224.7302567267495	8.221855984745687	2	1.0	0	25	1
187	3	311.57142768232023	13.48597728257488	3	9816.0	4	25	1
188	4	173.9715956789523	21.28830403414922	4	24.0	1	25	1
189	5	128.78159761019128	24.23837904488177	4	24.0	1	25	1
190	6	157.72480286957702	20.507292126488068	4	24.0	1	25	1
191	7	153.80412598424647	32.55734817433693	6	6994.0	4	25	1
192	8	95.98270861958969	35.32471522955514	7	1.0	0	25	1
193	1	263.78384303911673	1.0	1	8761.0	4	26	1
194	2	217.85726396351095	4.3821464671844055	2	10109.0	4	26	1
195	3	149.97509629597928	8.763185625349703	3	4868.0	4	26	1
196	4	241.07850220215752	14.700936211152076	4	63.0	2	26	1
197	5	270.204772456927	20.62742353712364	6	772.0	3	26	1
198	6	415.7929115099895	32.99936811999686	8	2.0	0	26	1
199	7	231.72742472272972	42.97902220684563	9	55.0	2	26	1
200	8	181.0331812687519	45.53408129017706	11	195.0	2	26	1
201	1	289.14722245920916	2.0	1	1.0	0	27	1
202	2	210.82220916939227	8.243653219565202	2	426.0	3	27	1
203	3	225.6339028858134	11.725441612851274	3	6995.0	4	27	1
204	4	158.31238310035894	17.19884228513164	4	51.0	2	27	1
205	5	218.54987383722386	25.599091864386267	5	1.0	0	27	1
206	6	128.6069279472305	29.87902776708648	6	26155.0	4	27	1
207	7	215.04456060225405	45.812930543351605	8	2.0	0	27	1
208	8	176.6424572977898	51.12101697482634	10	58.0	2	27	1
209	1	309.1170184130977	1.0	1	14.0	1	28	1
210	2	264.37141954240155	7.7760211747558134	2	34.0	2	28	1
211	3	218.44922449826436	14.344736114092381	3	1015.0	3	28	1
212	4	148.6703731907008	21.373698507673446	4	123.0	2	28	1
213	5	145.58728264492314	25.699322273526292	4	123.0	2	28	1
214	6	258.88965914020423	29.36430808170901	5	26155.0	4	28	1
215	7	196.6596918604881	34.18264674554735	6	58.0	2	28	1
