	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
206	7	292.6930503460301	43.29159482669321	6	1	0	24	0
207	0	230.443148144647	2.0	0	8761	3	25	0
208	1	205.43235294422672	5.778069137720745	1	10109	4	25	0
209	2	190.81294404262528	9.135945615086918	2	4868	3	25	0
210	3	194.38267413209394	15.388701016492979	3	63	1	25	0
211	4	290.5990471071443	19.934504208304173	4	26155	4	25	0
212	5	186.1823449790894	24.5236030513656	5	772	2	25	0
213	6	175.28238725556497	21.32205595649153	5	772	2	25	0
214	7	113.73601224870184	31.29630587449146	7	2	0	25	0
215	8	110.33876927083293	36.48302739302788	7	2	0	25	0
216	9	195.57951351440667	43.53035923585445	8	55	1	25	0
217	10	148.20277476290272	40.353155589606374	8	55	1	25	0
218	0	341.26267531215757	3.0	0	1	0	26	0
219	1	279.55506953723034	8.720617725895082	1	426	2	26	0
220	2	176.04001519357672	14.500512176321067	3	51	1	26	0
221	3	135.7875880704277	19.371841633760507	4	1	0	26	0
222	4	348.1574812460474	22.72066552261327	4	1	0	26	0
223	5	338.60538695375993	52.067884337602976	9	58	1	26	0
224	0	275.44248081122146	2.0	0	14	1	27	0
225	1	186.17465300587065	6.505688916336155	1	34	1	27	0
226	2	387.9432035341564	15.808978857717984	2	1015	3	27	0
227	3	171.91427328269333	21.469988992384614	3	123	2	27	0
228	4	163.53120979859807	26.598027962647194	3	123	2	27	0
229	5	159.2335007849529	22.134967991995275	3	123	2	27	0
230	6	266.86183605722397	33.72266144354473	5	58	1	27	0
231	7	192.92991493588866	41.34382227779844	6	25	1	27	0
232	8	200.1372249775944	51.05273585646984	8	1	0	27	0
233	9	105.58491053261628	54.67753389011001	8	1	0	27	0
234	10	131.74398368887654	48.17518198734239	8	1	0	27	0
235	11	189.0725469284028	56.626661089304136	9	4204	3	27	0
236	0	252.73097280012325	2.5	0	69974	4	28	0
237	1	368.59251258346296	5.8278589459698935	1	1	0	28	0
238	2	279.41285169364477	14.663078656715998	2	5	0	28	0
239	3	377.5422490282642	29.691527156627494	4	3	0	28	0
240	4	280.1715997714569	39.2996089348039	7	97	1	28	0
241	0	313.55644685982406	3.0	0	87	1	29	0
242	1	166.73469660208167	16.26020674945461	2	3	0	29	0
243	2	187.75229254173206	11.584999126126599	2	3	0	29	0
244	3	327.01382523572545	25.03187937824873	4	76	1	29	0
245	4	264.72669849533514	28.520022517612105	4	76	1	29	0
246	5	301.1474640374533	34.82061008924228	6	1	0	29	0
247	0	338.90619215284835	4.5	0	104	2	30	0
248	1	275.3440443539887	17.94301977065634	2	2	0	30	0
249	2	205.819995908345	26.52536687564757	4	10	0	30	0
250	3	186.01291055108038	29.992048022107916	4	10	0	30	0
251	4	289.8996148320327	36.64468598095591	6	75	1	30	0
252	5	133.77747048714176	48.53237900794721	8	69974	4	30	0
253	6	257.9734228707019	54.33549581772839	9	1	0	30	0
254	0	332.4706919869218	5.5	0	1	0	31	0
255	1	146.14842125334857	15.141020990790933	2	23127	4	31	0
256	2	171.27784641518903	11.03792809033478	1	4371	3	31	0
257	3	197.03084562399144	14.185331731755602	1	4371	3	31	0
258	4	147.04361756824895	20.623877849382893	3	26	1	31	0
259	5	154.92979164054032	23.898135539816504	3	26	1	31	0
260	6	149.04014056648055	31.210737254860945	4	69974	4	31	0
261	7	326.7481041342804	37.87075150704415	5	1	0	31	0
262	8	231.9235859032637	44.13149066048682	6	59	1	31	0
263	9	164.751193944075	55.60927317133191	8	1	0	31	0
264	0	300.0669163318501	4.0	0	52	1	32	0
265	1	239.9385575329392	12.42851760085422	1	119	2	32	0
266	2	189.16973820334886	19.74000884409242	2	8	0	32	0
267	3	124.55367922388041	25.427689994641142	3	1	0	32	0
268	4	167.7573489677339	21.18207333151299	3	1	0	32	0
269	5	325.0173029836072	25.723364560159414	3	1	0	32	0
270	6	297.961528481383	36.53200024856332	5	1	0	32	0
271	7	216.6206284834342	44.41121501210067	6	26155	4	32	0
272	0	280.89926045393577	2.5	0	69974	4	33	0
273	1	256.7285178200666	8.801066005222651	1	31	1	33	0
274	2	276.7223902824977	16.07267973821413	2	8	0	33	0
275	3	317.64330722910836	27.44734204345671	4	1	0	33	0
276	4	148.5678564449219	31.29563022764212	5	7251	3	33	0
277	5	245.7414377804596	36.412752503870514	6	9547	3	33	0
278	0	296.42627369542765	2.5	0	69974	4	34	0
279	1	240.63136092912413	8.370923267129934	1	831	2	34	0
280	2	279.59898476977264	13.747487034977597	2	220	2	34	0
281	3	272.22463168233435	18.294858546309563	3	5134	3	34	0
282	4	288.8959977130751	23.461147340300148	4	1	0	34	0
283	5	208.63902621016095	27.534644734563912	4	1	0	34	0
284	6	133.31715376861177	33.86184195109728	6	3036	3	34	0
285	7	143.80721435879943	41.71001807824446	8	28850	4	34	0
286	8	182.35075818260822	45.58549895470367	9	23127	4	34	0
287	9	337.77477656321355	49.191504370595155	10	1	0	34	0
288	0	265.7011648672099	2.5	0	69974	4	35	0
289	1	210.42890483989467	9.005685784682393	1	61	1	35	0
290	2	81.53975052816774	13.452850945185833	2	9816	3	35	0
291	3	274.1500844429791	19.128750116993952	3	104	2	35	0
292	4	162.36305252069988	30.042743161195425	5	3	0	35	0
293	5	59.42266458343292	35.66289101841671	5	3	0	35	0
294	6	276.41605188291544	28.630579478063567	5	3	0	35	0
295	7	66.40688914694411	47.30401026457653	7	15	1	35	0
296	8	143.11936965510196	53.46411387912471	9	1	0	35	0
297	0	211.1083106704827	2.5	0	69974	4	36	0
298	1	247.13485223937107	7.926206567870671	1	213	2	36	0
299	2	218.75912363194593	12.926500395260344	2	5134	3	36	0
300	3	384.77012771084935	21.231919554723586	4	9	0	36	0
301	4	284.1714154149605	30.437447668066422	5	1814	3	36	0
302	5	180.55282865568233	33.848891596690066	6	681	2	36	0
303	6	281.15153200560803	42.65197153473427	7	1	0	36	0
304	7	244.60321771360378	53.73435942873715	9	1	0	36	0
305	0	289.14972500569513	3.0	0	1	0	37	0
306	1	245.02144533408716	8.317124097890822	1	4	0	37	0
307	2	123.9646376737383	25.080348310536074	5	28850	4	37	0
308	3	140.13076846694207	21.143447824579287	4	445	2	37	0
309	4	172.25905394265544	30.726004954832476	6	10	0	37	0
310	5	169.88158054708572	35.563792819064105	6	10	0	37	0
311	6	240.40222885565146	40.63526485870795	7	23127	4	37	0
312	7	180.21905074293272	47.134365226051976	8	1	0	37	0
313	8	231.91433735092335	56.68073563245187	10	69974	4	37	0
314	0	257.0653965267795	2.5	0	69974	4	38	0
315	1	264.9126666697754	8.890404819669245	1	831	2	38	0
316	2	203.94835546897409	15.94647082156521	2	220	2	38	0
317	3	131.85891894848578	22.154792065704275	3	78	1	38	0
318	4	342.1601874862491	27.74537935690504	5	36414	4	38	0
319	5	113.08724385900814	33.21047671352129	6	69974	4	38	0
320	6	159.22228450648038	41.968568877844504	7	1	0	38	0
321	7	136.09565086359973	36.5053369843889	7	1	0	38	0
322	8	52.917078407652475	48.63555046372558	9	36414	4	38	0
323	0	235.2456428007361	2.5	0	69974	4	39	0
324	1	217.70496702661126	6.093946253422218	1	9	0	39	0
325	2	188.09321661192143	11.559702959301436	1	9	0	39	0
326	3	114.54979206315919	16.24992823078351	2	67	1	39	0
327	4	158.57501051686816	25.372867695332886	4	1	0	39	0
328	5	196.82413551100538	28.18119303805994	4	1	0	39	0
329	6	104.02426236192386	32.06876761786804	5	28850	4	39	0
330	7	138.11238885980237	37.76625179046789	6	1601	3	39	0
331	8	446.4236596066179	49.66002369002944	8	22	1	39	0
332	0	263.31058364595486	2.5	0	69974	4	40	0
333	1	229.3215238904434	6.480181932863246	1	123	2	40	0
334	2	275.8736727676684	12.05387580584906	2	288	2	40	0
335	3	194.62400947793637	19.62253317816695	3	1	0	40	0
336	4	339.9862560246752	28.41060716989582	4	68	1	40	0
337	5	108.52604983562759	29.94776534403177	5	23127	4	40	0
338	6	308.6788160220775	36.4926778629874	6	1	0	40	0
339	7	258.8011729819234	46.1026200377713	8	28850	4	40	0
340	8	127.11149843727702	54.97211502526763	10	51	1	40	0
341	0	286.4247969516632	2.5	0	69974	4	41	0
342	1	242.98637253158856	6.2967211218903465	1	8	0	41	0
343	2	331.9108346501207	16.08672221957641	2	1	0	41	0
344	3	334.6171225431465	26.159255154112405	3	37	1	41	0
345	4	170.1821603906048	37.9445929672152	5	1	0	41	0
346	5	190.25754593160292	41.123034335411695	5	1	0	41	0
347	6	158.90643075146352	55.3191331685128	9	591	2	41	0
348	0	346.52178185590526	3.5	0	1068	3	42	0
349	1	195.55156848049154	11.513840442459818	1	34	1	42	0
350	2	369.1031632474457	20.78084897604038	2	265	2	42	0
351	3	193.24352231979623	26.175795360617244	3	69974	4	42	0
352	4	249.67886996421205	31.352556144437496	4	2	0	42	0
353	5	295.1913301257369	38.098838456592645	5	56	1	42	0
354	6	145.5323143456354	48.260771709087365	6	12	1	42	0
355	7	145.9339118535667	45.114763531369434	6	12	1	42	0
356	8	329.7584094935107	56.90834601698098	8	23127	4	42	0
357	0	286.86392776616793	2.0	0	5372	3	43	0
358	1	299.71341096086906	11.083790940665228	2	131	2	43	0
359	2	278.5198256285173	19.664565463865735	3	216	2	43	0
360	3	158.68869722498144	25.242461700674767	4	847	2	43	0
