	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
189	6	159.4562434216925	42.556934815713	8	883.0	3	23	1
190	7	368.60411006949005	54.88942397706603	10	1.0	0	23	1
191	1	222.66122041320324	2.0	1	1159.0	3	24	1
192	2	245.8315111193675	6.820638302715302	2	239.0	2	24	1
193	3	148.55661505061337	22.590892121468368	4	86.0	2	24	1
194	4	153.07733284781378	26.04516339559366	4	86.0	2	24	1
195	5	179.0034955808716	33.01765969912011	6	343.0	3	24	1
196	6	203.24632628812148	38.128523512968265	7	3297.0	4	24	1
197	7	104.30943097321587	48.102336958136675	8	145.0	2	24	1
198	8	208.3506516314028	44.67391161745893	8	145.0	2	24	1
199	1	239.2253546513874	1.5	1	69974.0	5	25	1
200	2	277.3161765258437	8.32438796206999	2	1.0	0	25	1
201	3	226.36300769167582	12.002623094870554	2	1.0	0	25	1
202	4	171.0027759998636	15.8469630558993	3	9816.0	4	25	1
203	5	276.2884499371837	25.117493845205452	4	24.0	1	25	1
204	6	217.33257664410246	34.40245749597615	6	6994.0	4	25	1
205	7	165.49811046355728	41.737244328509234	7	1.0	0	25	1
206	1	357.56799144720594	1.0	1	8761.0	4	26	1
207	2	126.23400797744404	4.478121575386625	2	10109.0	4	26	1
208	3	116.82616874232987	0.6851950879843596	1	8761.0	4	26	1
209	4	131.89721245716592	4.84977503042866	2	10109.0	4	26	1
210	5	304.12944375998666	14.206803968619987	4	63.0	2	26	1
211	6	257.3766491027258	19.220764223477563	5	26155.0	4	26	1
212	7	233.23537197300158	22.60377990393559	6	772.0	3	26	1
213	8	364.24659926226815	32.06875512259339	8	2.0	0	26	1
214	9	202.6916657891644	40.6555899041475	9	55.0	2	26	1
215	10	231.8671449232154	43.42116317148858	10	23127.0	4	26	1
216	1	270.36502789833554	2.0	1	1.0	0	27	1
217	2	293.3016822779518	9.187584015743287	3	6995.0	4	27	1
218	3	228.3685629637037	15.190523526981794	4	51.0	2	27	1
219	4	158.52991870606482	21.476751654591116	5	1.0	0	27	1
220	5	155.95097035775387	25.62845760551293	5	1.0	0	27	1
221	6	113.11119251575641	34.70501236586728	8	2.0	0	27	1
222	7	439.6471414672511	42.58468014927802	8	2.0	0	27	1
223	8	146.32542054808542	51.90372253857289	10	58.0	2	27	1
224	1	237.93195524398615	1.0	1	14.0	1	28	1
225	2	340.80088798275057	7.524426945461033	2	34.0	2	28	1
226	3	240.19027254078546	15.640872442851652	3	1015.0	3	28	1
227	4	251.78295164255033	21.84028845525985	4	123.0	2	28	1
228	5	264.2212941216615	28.989219764022486	5	26155.0	4	28	1
229	6	270.1395803864649	33.56583918955575	6	58.0	2	28	1
230	7	275.1366683147901	40.51452710244836	7	25.0	1	28	1
231	8	259.0771798547903	45.42970806987537	8	23127.0	4	28	1
232	9	150.1337514992493	52.04695336203056	9	1.0	0	28	1
233	10	231.88661482424345	59.24520832193601	11	42.0	2	28	1
234	1	250.34472565758236	1.5	1	69974.0	5	29	1
235	2	225.70057437512253	7.701547977582123	2	1.0	0	29	1
236	3	223.57605701930055	13.824643391450447	3	5.0	1	29	1
237	4	212.17960952126688	19.38133865347362	4	6994.0	4	29	1
238	5	330.9775906280109	32.509562364278615	7	9547.0	4	29	1
239	6	153.64681262492974	37.64090754473987	8	97.0	2	29	1
240	7	120.2795276617678	41.77753250437088	8	97.0	2	29	1
241	1	273.4095162525029	2.0	1	87.0	2	30	1
242	2	166.87219795805277	6.35522131456716	2	9816.0	4	30	1
243	3	233.225916425904	11.646606015818838	3	3.0	0	30	1
244	4	284.47515020456154	19.375282071529544	4	26155.0	4	30	1
245	5	291.2908353364283	24.027339403673615	5	76.0	2	30	1
246	6	136.84602049382752	32.04146294619282	7	1.0	0	30	1
247	7	192.8815893399864	36.23998382291393	7	1.0	0	30	1
248	8	280.48645270895173	45.28769563321465	9	3036.0	3	30	1
249	1	288.84785754504895	3.5	1	104.0	2	31	1
250	2	414.7363755527322	16.534860642986363	3	2.0	0	31	1
251	3	423.82024794488854	24.96697307664679	4	69974.0	5	31	1
252	4	319.39946506972234	37.870842149562776	7	75.0	2	31	1
253	5	205.24262719970167	50.40806851038582	10	1.0	0	31	1
254	6	204.4394212840416	53.16644136489014	10	1.0	0	31	1
255	1	283.23846650338913	4.5	1	1.0	0	32	1
256	2	341.27772157782516	13.374459265269055	2	4371.0	4	32	1
257	3	113.22303558707077	15.50216233142136	3	23127.0	4	32	1
258	4	154.68513467913948	24.35273028498132	4	26.0	1	32	1
259	5	191.18270404023272	20.614032177468864	4	26.0	1	32	1
260	6	200.14805519949624	38.126424797422494	6	1.0	0	32	1
261	7	145.54721124357312	43.66570875563957	7	59.0	2	32	1
262	8	180.74888088649223	57.19819288790485	9	1.0	0	32	1
263	1	344.13514600979795	3.0	1	52.0	2	33	1
264	2	295.65638566351595	10.30027485864816	2	119.0	2	33	1
265	3	228.8369635066622	15.408803051001774	3	8.0	1	33	1
266	4	411.4373547440455	22.40060690514609	4	1.0	0	33	1
267	5	145.17806725361692	35.813505594224246	6	1.0	0	33	1
268	6	117.07967798510762	38.735269309081744	6	1.0	0	33	1
269	7	230.22713749279325	46.69188062408692	8	6994.0	4	33	1
270	1	271.0662969215173	1.5	1	69974.0	5	34	1
271	2	205.75507696714257	6.286855806671493	2	31.0	1	34	1
272	3	245.21433487317975	14.878018657049614	3	8.0	1	34	1
273	4	348.270279895343	26.134430233186595	5	1.0	0	34	1
274	5	224.5875060309209	33.143715729168676	7	9547.0	4	34	1
275	6	210.48976198144834	35.823432509391	7	9547.0	4	34	1
276	7	240.45252074628982	40.16041060329011	8	20.0	1	34	1
277	1	240.81726484218075	1.5	1	69974.0	5	35	1
278	2	232.95781072316757	8.037974907790343	2	831.0	3	35	1
279	3	168.60424208404908	15.13127563027534	4	5134.0	4	35	1
280	4	151.25284517291902	19.319242990428755	5	1.0	0	35	1
281	5	167.1013914237591	23.016159955990304	5	1.0	0	35	1
282	6	112.23477177582934	25.27052674450327	5	1.0	0	35	1
283	7	185.88971229884856	31.47897335702799	7	3036.0	3	35	1
284	8	89.22368624851941	34.58622945681131	8	25.0	1	35	1
285	9	94.99626225836194	30.093737142834108	7	3036.0	3	35	1
286	10	281.1058017878448	39.012192611455575	9	28850.0	4	35	1
287	11	222.38935299106424	45.01623667877044	11	1.0	0	35	1
288	1	286.07461957954143	1.5	1	69974.0	5	36	1
289	2	270.4424813577533	5.3993606676888355	2	61.0	2	36	1
290	3	280.52109942124616	16.933070426936595	4	104.0	2	36	1
291	4	139.1138504493998	29.2486233841966	6	3.0	0	36	1
292	5	165.91503489911605	33.621491784582005	6	3.0	0	36	1
293	6	218.0101954242719	38.98427339646004	7	93.0	2	36	1
294	7	128.86017047785052	35.779362984153835	7	93.0	2	36	1
295	8	139.98135258434732	40.00559601651206	8	15.0	1	36	1
296	9	131.88928752147854	55.82065289026225	10	1.0	0	36	1
297	1	277.77491630317223	1.5	1	69974.0	5	37	1
298	2	232.4884554719468	5.834365947810924	2	213.0	2	37	1
299	3	261.97766808020714	9.84558611457711	3	5134.0	4	37	1
300	4	397.0119812221932	18.20752474126462	5	9.0	1	37	1
301	5	312.1722983467859	34.769083682649295	7	681.0	3	37	1
302	6	88.37808635883357	48.43244108566984	10	1.0	0	37	1
303	7	318.24438114889745	53.81470766169726	10	1.0	0	37	1
304	8	94.39238166526772	58.14902122719858	11	28850.0	4	37	1
305	1	301.05128130060865	2.0	1	1.0	0	38	1
